,n_samples,n_mfcc,hop_win,len_win,n_iter,n_hidden,accuracy,recall,precision,F1_score
0,20.0,13.0,0.01,0.025,15.0,4.0,"[0.7, 0.7, 0.7, 0.7, 0.7]","[0.7, 0.7, 0.7, 0.7, 0.7]","[0.925, 0.8833333333333332, 0.8833333333333332, 0.8833333333333332, 0.887912087912088]","[0.64, 0.6166666666666666, 0.6166666666666666, 0.6166666666666666, 0.6197860962566846]"
1,20.0,13.0,0.01,0.025,15.0,6.0,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]"
2,20.0,13.0,0.01,0.025,15.0,12.0,"[0.9, 0.9, 1.0, 1.0, 0.9]","[0.9, 0.9, 1.0, 1.0, 0.9]","[0.95, 0.95, 1.0, 1.0, 0.95]","[0.8666666666666666, 0.8666666666666666, 1.0, 1.0, 0.8666666666666666]"
3,20.0,13.0,0.01,0.025,30.0,4.0,"[0.8, 0.7, 0.8, 0.8, 0.8]","[0.8, 0.7, 0.8, 0.8, 0.8]","[0.9333333333333332, 0.8833333333333332, 0.9333333333333332, 0.9333333333333332, 0.9333333333333332]","[0.75, 0.6166666666666666, 0.75, 0.75, 0.75]"
4,20.0,13.0,0.01,0.025,30.0,6.0,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]"
5,20.0,13.0,0.01,0.025,30.0,12.0,"[1.0, 1.0, 0.8, 0.9, 1.0]","[1.0, 1.0, 0.8, 0.9, 1.0]","[1.0, 1.0, 0.9163636363636364, 0.95, 1.0]","[1.0, 1.0, 0.7422222222222222, 0.8666666666666666, 1.0]"
6,20.0,13.0,0.01,0.025,50.0,4.0,"[0.8, 0.7, 0.8, 0.8, 0.8]","[0.8, 0.7, 0.8, 0.8, 0.8]","[0.9333333333333332, 0.887912087912088, 0.9333333333333332, 0.9333333333333332, 0.9333333333333332]","[0.75, 0.6197860962566846, 0.75, 0.75, 0.75]"
7,20.0,13.0,0.01,0.025,50.0,6.0,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]"
8,20.0,13.0,0.01,0.025,50.0,12.0,"[1.0, 0.9, 0.9, 0.825, 0.8]","[1.0, 0.9, 0.9, 0.825, 0.8]","[1.0, 0.95, 0.95, 0.8904761904761903, 0.9]","[1.0, 0.8666666666666666, 0.8666666666666666, 0.7727272727272727, 0.7333333333333333]"
9,20.0,13.0,0.01,0.04,15.0,4.0,"[0.8, 0.9, 0.9, 0.9, 0.9]","[0.8, 0.9, 0.9, 0.9, 0.9]","[0.9333333333333332, 0.95, 0.95, 0.95, 0.95]","[0.75, 0.8666666666666666, 0.8666666666666666, 0.8666666666666666, 0.8666666666666666]"
10,20.0,13.0,0.01,0.04,15.0,6.0,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]"
11,20.0,13.0,0.01,0.04,15.0,12.0,"[1.0, 0.9, 1.0, 0.925, 0.9]","[1.0, 0.9, 1.0, 0.925, 0.9]","[1.0, 0.95, 1.0, 0.9571428571428571, 0.95]","[1.0, 0.8666666666666666, 1.0, 0.9127272727272727, 0.8666666666666666]"
12,20.0,13.0,0.01,0.04,30.0,4.0,"[0.8, 0.9, 0.9, 0.9, 0.9]","[0.8, 0.9, 0.9, 0.9, 0.9]","[0.9333333333333332, 0.95, 0.95, 0.95, 0.95]","[0.75, 0.8666666666666666, 0.8666666666666666, 0.8666666666666666, 0.8666666666666666]"
13,20.0,13.0,0.01,0.04,30.0,6.0,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]"
14,20.0,13.0,0.01,0.04,30.0,12.0,"[0.8, 1.0, 0.9, 1.0, 1.0]","[0.8, 1.0, 0.9, 1.0, 1.0]","[0.9333333333333332, 1.0, 0.95, 1.0, 1.0]","[0.75, 1.0, 0.8666666666666666, 1.0, 1.0]"
15,20.0,13.0,0.01,0.04,50.0,4.0,"[0.8, 0.9, 0.9, 0.9, 0.9]","[0.8, 0.9, 0.9, 0.9, 0.9]","[0.9, 0.95, 0.95, 0.95, 0.95]","[0.7333333333333333, 0.8666666666666666, 0.8666666666666666, 0.8666666666666666, 0.8666666666666666]"
16,20.0,13.0,0.01,0.04,50.0,6.0,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]"
